'_get_children_by_filter'; 0.0120s
'get_named_instance_elements_children_of'; 0.0120s
'get_named_instances_children_of'; 0.0122s
'_get_children_by_filter'; 0.0102s
'get_datatype_elements_children_of'; 0.0102s
'get_datatypes_children_of'; 0.0102s
'__post_init__'; 0.0782s
'from_element'; 0.0782s
'nodes_ids'; 0.0114s
'prefixes_nodes'; 0.0440s
'prefixes'; 0.0443s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0018s
'_get_children_by_filter'; 0.0020s
'get_named_instance_elements_children_of'; 0.0021s
'get_named_instances_children_of'; 0.0021s
'_get_children_by_filter'; 0.0022s
'get_datatype_elements_children_of'; 0.0022s
'get_datatypes_children_of'; 0.0022s
'__post_init__'; 0.0504s
'from_element'; 0.0504s
'nodes_ids'; 0.0118s
'prefixes_nodes'; 0.0463s
'prefixes'; 0.0465s
'__post_init__'; 0.0473s
'from_element'; 0.0473s
'nodes_ids'; 0.0122s
'prefixes_nodes'; 0.0471s
'prefixes'; 0.0474s
'__post_init__'; 0.0480s
'from_element'; 0.0480s
'ontologies'; 0.2697s
'nodes_ids'; 0.0113s
'nodes_ids'; 0.0021s
'get_ontology_contains_element_id'; 0.2836s
'get_relations'; 0.2837s
'relations_from_node'; 0.2837s
'relations_from'; 0.2837s
'to_turtle'; 0.2838s
'nodes_ids'; 0.0137s
'ontology_nodes'; 0.0484s
'nodes_ids'; 0.0137s
'prefixes_nodes'; 0.0493s
'prefixes'; 0.0495s
'_get_children_by_filter'; 0.0122s
'get_class_elements_children_of'; 0.0122s
'get_classes_children_of'; 0.0122s
'_get_children_by_filter'; 0.0137s
'get_named_instance_elements_children_of'; 0.0137s
'get_named_instances_children_of'; 0.0140s
'_get_children_by_filter'; 0.0140s
'get_datatype_elements_children_of'; 0.0140s
'get_datatypes_children_of'; 0.0140s
'__post_init__'; 0.0898s
'from_element'; 0.0899s
'nodes_ids'; 0.0157s
'prefixes_nodes'; 0.0529s
'prefixes'; 0.0532s
'_get_children_by_filter'; 0.0020s
'get_class_elements_children_of'; 0.0020s
'get_classes_children_of'; 0.0021s
'_get_children_by_filter'; 0.0019s
'get_named_instance_elements_children_of'; 0.0019s
'get_named_instances_children_of'; 0.0019s
'_get_children_by_filter'; 0.0020s
'get_datatype_elements_children_of'; 0.0020s
'get_datatypes_children_of'; 0.0020s
'__post_init__'; 0.0593s
'from_element'; 0.0593s
'nodes_ids'; 0.0136s
'prefixes_nodes'; 0.0518s
'prefixes'; 0.0521s
'__post_init__'; 0.0527s
'from_element'; 0.0527s
'nodes_ids'; 0.0157s
'prefixes_nodes'; 0.0476s
'prefixes'; 0.0479s
'__post_init__'; 0.0484s
'from_element'; 0.0484s
'ontologies'; 0.2987s
'nodes_ids'; 0.0105s
'nodes_ids'; 0.0018s
'get_ontology_contains_element_id'; 0.3109s
'get_relations'; 0.3110s
'relations_from_node'; 0.3111s
'relations_from'; 0.3111s
'to_turtle'; 0.3111s
'nodes_ids'; 0.0124s
'ontology_nodes'; 0.0416s
'nodes_ids'; 0.0143s
'prefixes_nodes'; 0.0490s
'prefixes'; 0.0493s
'_get_children_by_filter'; 0.0114s
'get_class_elements_children_of'; 0.0114s
'get_classes_children_of'; 0.0114s
'_get_children_by_filter'; 0.0106s
'get_named_instance_elements_children_of'; 0.0106s
'get_named_instances_children_of'; 0.0109s
'_get_children_by_filter'; 0.0092s
'get_datatype_elements_children_of'; 0.0092s
'get_datatypes_children_of'; 0.0093s
'__post_init__'; 0.0809s
'from_element'; 0.0809s
'nodes_ids'; 0.0126s
'prefixes_nodes'; 0.0432s
'prefixes'; 0.0434s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0018s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_datatype_elements_children_of'; 0.0017s
'get_datatypes_children_of'; 0.0017s
'__post_init__'; 0.0486s
'from_element'; 0.0486s
'nodes_ids'; 0.0122s
'prefixes_nodes'; 0.0461s
'prefixes'; 0.0463s
'__post_init__'; 0.0468s
'from_element'; 0.0469s
'nodes_ids'; 0.0122s
'prefixes_nodes'; 0.0430s
'prefixes'; 0.0432s
'__post_init__'; 0.0437s
'from_element'; 0.0437s
'ontologies'; 0.2618s
'nodes_ids'; 0.0087s
'nodes_ids'; 0.0015s
'get_ontology_contains_element_id'; 0.2720s
'get_relations'; 0.2721s
'relations_from_node'; 0.2721s
'relations_from'; 0.2721s
'to_turtle'; 0.2721s
'nodes_ids'; 0.0117s
'ontology_nodes'; 0.0441s
'nodes_ids'; 0.0129s
'prefixes_nodes'; 0.0456s
'prefixes'; 0.0459s
'_get_children_by_filter'; 0.0093s
'get_class_elements_children_of'; 0.0093s
'get_classes_children_of'; 0.0093s
'_get_children_by_filter'; 0.0097s
'get_named_instance_elements_children_of'; 0.0097s
'get_named_instances_children_of'; 0.0099s
'_get_children_by_filter'; 0.0097s
'get_datatype_elements_children_of'; 0.0098s
'get_datatypes_children_of'; 0.0098s
'__post_init__'; 0.0749s
'from_element'; 0.0749s
'nodes_ids'; 0.0119s
'prefixes_nodes'; 0.0434s
'prefixes'; 0.0436s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0018s
'get_classes_children_of'; 0.0018s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_datatype_elements_children_of'; 0.0017s
'get_datatypes_children_of'; 0.0017s
'__post_init__'; 0.0489s
